Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","EVP-AFFG65","Tactile Switches SPST-NO Force 160 gf OFF-(ON) .7mm H","BUTT200, BUTT201","","Not managed","","2","Panasonic","EVP-AFFG65","Unknown","Digi-Key","P15511CT-ND","0.91","1.82"
"","4.7 uF","Ceramic Capacitor, Multilayer, Ceramic, 16V, 20% +Tol, 20% -Tol, X5R, 15% TC, 4.7uF, Surface Mount, 0402","C100, C101, C102","","Not managed","","3","Kyocera AVX","0402YD475MAT2A","Volume Production","Digi-Key","478-10788-1-ND","0.25","0.75"
"","1 uF","0402 1 uF Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X5R, 15% TC, 1uF, Surface Mount, 0402","C103, C104, C207, C211, C400, C401","","Not managed","","6","Murata","GRT155R61C105KE01D","Volume Production","Digi-Key","490-12255-1-ND","0.11","0.66"
"","1 uF","0402 1 uF Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X5R, 15% TC, 1uF, Surface Mount, 0402","C200","","Not managed","","1","Murata","GRT155R61C105KE01D","Volume Production","Digi-Key","490-12255-1-ND","0.11","0.11"
"","10 uF","0402 10uF Ceramic Capacitor, Multilayer, Ceramic, 6.3V, 20% +Tol, 20% -Tol, X5R, 15% TC, 10uF, Surface Mount, 0402","C201, C204, C206, C301","","Not managed","","4","Samsung","CL05A106MQ5NUNC","Volume Production","Digi-Key","1276-1451-1-ND","0.24","0.96"
"","0.1 uF","0402 0.1 uF Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0402","C202, C203, C205, C208, C300, C302","","Not managed","","6","Samsung","CL05B104K05NNNC","Unknown","Digi-Key","1276-1001-1-ND","0.024","0.24"
"","NC","Not mounted","C209, C210","","Not managed","","2","","","","N.A.","N.A.","",""
"","10 nF","0402 10 nF Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.01uF, Surface Mount, 0402","C212","","Not managed","","1","Kyocera AVX","04023C103KAT2A\10K","Unknown","Digi-Key","478-1113-1-ND","0.1","0.1"
"","0.1 uF","0402 0.1 uF Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0402","C303, C304","","Not managed","","2","Samsung","CL05B104K05NNNC","Unknown","Digi-Key","1276-1001-1-ND","0.1","0.2"
"","2030","Tag Connect 2030","CONN200","","Not managed","","1","","","","","","",""
"","530470810_1","Conn Shrouded Header (4 Sides) HDR 8 POS 1.25mm Solder ST Top Entry Thru-Hole PicoBladeâ„¢ Tray","CONN201","","Not managed","","1","Molex","0530470810","Volume Production","Avnet","0530470810","0.29469","0.29469"
"","1981584-1","Telecom and Datacom Connector, 5 Contact(s), Female, Right Angle, Surface Mount Terminal, Receptacle","CONN400","","Not managed","","1","TE Connectivity","1981568-1","Volume Production","Digi-Key","A97800DKR-ND","2.24","2.24"
"","VLMG1500-GS08_1","Single Color LED, Yellow Green, 0.5mm","D100","","Not managed","","1","Vishay","VLMG1500-GS08","Volume Production","Digi-Key","VLMG1500-GS08CT-ND","0.34","0.34"
